Year,Province,Crop,Production
2021,Prince Edward Island,Soybeans,33477
2022,Prince Edward Island,Soybeans,36057
2018,Prince Edward Island,Sugar beets,0
2019,Prince Edward Island,Sugar beets,0
2020,Prince Edward Island,Sugar beets,0
2021,Prince Edward Island,Sugar beets,
2022,Prince Edward Island,Sugar beets,0
2018,Prince Edward Island,Triticale,0
2019,Prince Edward Island,Triticale,0
2020,Prince Edward Island,Triticale,0
2021,Prince Edward Island,Triticale,
2022,Prince Edward Island,Triticale,0
2012,Prince Edward Island,"Wheat, all",29600
2013,Prince Edward Island,"Wheat, all",25100
2014,Prince Edward Island,"Wheat, all",31500
2015,Prince Edward Island,"Wheat, all",43400
2016,Prince Edward Island,"Wheat, all",48200
2017,Prince Edward Island,"Wheat, all",56700
2018,Prince Edward Island,"Wheat, all",60800
2019,Prince Edward Island,"Wheat, all",60800
2020,Prince Edward Island,"Wheat, all",62200
2021,Prince Edward Island,"Wheat, all",48200
2022,Prince Edward Island,"Wheat, all",74464
2018,Prince Edward Island,"Wheat, durum",0
2019,Prince Edward Island,"Wheat, durum",0
2020,Prince Edward Island,"Wheat, durum",0
2021,Prince Edward Island,"Wheat, durum",
2022,Prince Edward Island,"Wheat, durum",0
2012,Prince Edward Island,"Wheat, spring",23600
2013,Prince Edward Island,"Wheat, spring",21200
2014,Prince Edward Island,"Wheat, spring",25000
2015,Prince Edward Island,"Wheat, spring",35800
2016,Prince Edward Island,"Wheat, spring",36700
2017,Prince Edward Island,"Wheat, spring",42200
2018,Prince Edward Island,"Wheat, spring",39100
2019,Prince Edward Island,"Wheat, spring",49300
2020,Prince Edward Island,"Wheat, spring",46000
2021,Prince Edward Island,"Wheat, spring",24972
2022,Prince Edward Island,"Wheat, spring",30121
2012,Prince Edward Island,"Wheat, winter remaining",6000
2013,Prince Edward Island,"Wheat, winter remaining",3900
2014,Prince Edward Island,"Wheat, winter remaining",6500
2015,Prince Edward Island,"Wheat, winter remaining",7600
2016,Prince Edward Island,"Wheat, winter remaining",11400
2017,Prince Edward Island,"Wheat, winter remaining",14600
2018,Prince Edward Island,"Wheat, winter remaining",21800
2019,Prince Edward Island,"Wheat, winter remaining",11500
2020,Prince Edward Island,"Wheat, winter remaining",16200
2021,Prince Edward Island,"Wheat, winter remaining",23267
2022,Prince Edward Island,"Wheat, winter remaining",44344
2012,Nova Scotia,Barley,6900
2013,Nova Scotia,Barley,5000
2014,Nova Scotia,Barley,3900
2015,Nova Scotia,Barley,4100
2016,Nova Scotia,Barley,4700
2017,Nova Scotia,Barley,5200
2018,Nova Scotia,Barley,2400
2019,Nova Scotia,Barley,3400
2020,Nova Scotia,Barley,2500
2021,Nova Scotia,Barley,4299
2022,Nova Scotia,Barley,2148
2018,Nova Scotia,Canola (rapeseed),0
2019,Nova Scotia,Canola (rapeseed),0
2020,Nova Scotia,Canola (rapeseed),0
2021,Nova Scotia,Canola (rapeseed),0
2022,Nova Scotia,Canola (rapeseed),0
2012,Nova Scotia,Corn for grain,55500
2013,Nova Scotia,Corn for grain,71100
2014,Nova Scotia,Corn for grain,54400
2015,Nova Scotia,Corn for grain,62300
2016,Nova Scotia,Corn for grain,59100
2017,Nova Scotia,Corn for grain,61500
2018,Nova Scotia,Corn for grain,69500
2019,Nova Scotia,Corn for grain,49500
2020,Nova Scotia,Corn for grain,51500
2021,Nova Scotia,Corn for grain,56045
2022,Nova Scotia,Corn for grain,47740
2012,Nova Scotia,Corn for silage,140600
2013,Nova Scotia,Corn for silage,122500
2014,Nova Scotia,Corn for silage,150600
2015,Nova Scotia,Corn for silage,133400
2016,Nova Scotia,Corn for silage,179600
2017,Nova Scotia,Corn for silage,181400
2018,Nova Scotia,Corn for silage,176700
2019,Nova Scotia,Corn for silage,187200
2020,Nova Scotia,Corn for silage,219500
2021,Nova Scotia,Corn for silage,216374
2022,Nova Scotia,Corn for silage,158829
2018,Nova Scotia,Lentils,0
2019,Nova Scotia,Lentils,0
2020,Nova Scotia,Lentils,0
2021,Nova Scotia,Lentils,0
2022,Nova Scotia,Lentils,0
2012,Nova Scotia,"Peas, dry",
2013,Nova Scotia,"Peas, dry",
2014,Nova Scotia,"Peas, dry",
2015,Nova Scotia,"Peas, dry",
2016,Nova Scotia,"Peas, dry",
2017,Nova Scotia,"Peas, dry",
2018,Nova Scotia,"Peas, dry",0
2019,Nova Scotia,"Peas, dry",0
2020,Nova Scotia,"Peas, dry",0
2021,Nova Scotia,"Peas, dry",
2022,Nova Scotia,"Peas, dry",
2012,Nova Scotia,"Rye, fall remaining",
2013,Nova Scotia,"Rye, fall remaining",
2014,Nova Scotia,"Rye, fall remaining",
2015,Nova Scotia,"Rye, fall remaining",
2016,Nova Scotia,"Rye, fall remaining",
2017,Nova Scotia,"Rye, fall remaining",
2018,Nova Scotia,"Rye, fall remaining",700
2019,Nova Scotia,"Rye, fall remaining",2700
2020,Nova Scotia,"Rye, fall remaining",500
2021,Nova Scotia,"Rye, fall remaining",1071
2022,Nova Scotia,"Rye, fall remaining",1002
2018,Nova Scotia,"Rye, spring",
2019,Nova Scotia,"Rye, spring",0
2020,Nova Scotia,"Rye, spring",0
2021,Nova Scotia,"Rye, spring",
2022,Nova Scotia,"Rye, spring",
2012,Nova Scotia,Soybeans,10600
2013,Nova Scotia,Soybeans,12000
2014,Nova Scotia,Soybeans,14800
2015,Nova Scotia,Soybeans,12800
2016,Nova Scotia,Soybeans,12800
2017,Nova Scotia,Soybeans,15500
2018,Nova Scotia,Soybeans,18500
2019,Nova Scotia,Soybeans,10700
2020,Nova Scotia,Soybeans,11200
2021,Nova Scotia,Soybeans,15842
2022,Nova Scotia,Soybeans,17079
2018,Nova Scotia,Sugar beets,0
2019,Nova Scotia,Sugar beets,0
2020,Nova Scotia,Sugar beets,0
2021,Nova Scotia,Sugar beets,
2022,Nova Scotia,Sugar beets,0
2018,Nova Scotia,Triticale,0
2019,Nova Scotia,Triticale,
2020,Nova Scotia,Triticale,0
2021,Nova Scotia,Triticale,
2022,Nova Scotia,Triticale,
2012,Nova Scotia,"Wheat, all",10800
2013,Nova Scotia,"Wheat, all",10500
2014,Nova Scotia,"Wheat, all",9200
2015,Nova Scotia,"Wheat, all",15200
2016,Nova Scotia,"Wheat, all",14700
2017,Nova Scotia,"Wheat, all",13200
2018,Nova Scotia,"Wheat, all",9600
2019,Nova Scotia,"Wheat, all",7300
2020,Nova Scotia,"Wheat, all",11800
2021,Nova Scotia,"Wheat, all",11200
2022,Nova Scotia,"Wheat, all",12546
2018,Nova Scotia,"Wheat, durum",0
2019,Nova Scotia,"Wheat, durum",0
2020,Nova Scotia,"Wheat, durum",0
2021,Nova Scotia,"Wheat, durum",
2022,Nova Scotia,"Wheat, durum",0
2012,Nova Scotia,"Wheat, spring",1100
2013,Nova Scotia,"Wheat, spring",1200
2014,Nova Scotia,"Wheat, spring",
2015,Nova Scotia,"Wheat, spring",
2016,Nova Scotia,"Wheat, spring",
2017,Nova Scotia,"Wheat, spring",
2018,Nova Scotia,"Wheat, spring",1700
2019,Nova Scotia,"Wheat, spring",1600
2020,Nova Scotia,"Wheat, spring",3200
2021,Nova Scotia,"Wheat, spring",
2022,Nova Scotia,"Wheat, spring",1089
2012,Nova Scotia,"Wheat, winter remaining",9700
2013,Nova Scotia,"Wheat, winter remaining",9300
2014,Nova Scotia,"Wheat, winter remaining",9200
2015,Nova Scotia,"Wheat, winter remaining",15200
2016,Nova Scotia,"Wheat, winter remaining",14700
2017,Nova Scotia,"Wheat, winter remaining",13200
2018,Nova Scotia,"Wheat, winter remaining",7900
2019,Nova Scotia,"Wheat, winter remaining",5700
2020,Nova Scotia,"Wheat, winter remaining",8700
2021,Nova Scotia,"Wheat, winter remaining",9041
2022,Nova Scotia,"Wheat, winter remaining",11457
2012,New Brunswick,Barley,26700
2013,New Brunswick,Barley,24600
2014,New Brunswick,Barley,20100
2015,New Brunswick,Barley,26100
2016,New Brunswick,Barley,22600
2017,New Brunswick,Barley,20400
2018,New Brunswick,Barley,12800
2019,New Brunswick,Barley,19800
2020,New Brunswick,Barley,17600
2021,New Brunswick,Barley,22736
2022,New Brunswick,Barley,19884
2012,New Brunswick,Canola (rapeseed),7800
2013,New Brunswick,Canola (rapeseed),6100
2014,New Brunswick,Canola (rapeseed),
2015,New Brunswick,Canola (rapeseed),
2016,New Brunswick,Canola (rapeseed),
2017,New Brunswick,Canola (rapeseed),
2018,New Brunswick,Canola (rapeseed),800
2019,New Brunswick,Canola (rapeseed),1200
2020,New Brunswick,Canola (rapeseed),700
2021,New Brunswick,Canola (rapeseed),
2022,New Brunswick,Canola (rapeseed),1186
2012,New Brunswick,Corn for grain,33400
2013,New Brunswick,Corn for grain,27900
2014,New Brunswick,Corn for grain,24400
2015,New Brunswick,Corn for grain,25900
2016,New Brunswick,Corn for grain,33000
2017,New Brunswick,Corn for grain,52800
2018,New Brunswick,Corn for grain,45300
2019,New Brunswick,Corn for grain,26000
2020,New Brunswick,Corn for grain,22300
2021,New Brunswick,Corn for grain,24974
2022,New Brunswick,Corn for grain,42857
2012,New Brunswick,Corn for silage,88900
2013,New Brunswick,Corn for silage,96200
2014,New Brunswick,Corn for silage,92500
2015,New Brunswick,Corn for silage,64400
2016,New Brunswick,Corn for silage,90700
2017,New Brunswick,Corn for silage,131500
2018,New Brunswick,Corn for silage,48200
2019,New Brunswick,Corn for silage,122700
2020,New Brunswick,Corn for silage,87000
2021,New Brunswick,Corn for silage,91774
2022,New Brunswick,Corn for silage,108348
2018,New Brunswick,Lentils,0
2019,New Brunswick,Lentils,0
2020,New Brunswick,Lentils,0
2021,New Brunswick,Lentils,0
2022,New Brunswick,Lentils,0
2012,New Brunswick,"Peas, dry",
2013,New Brunswick,"Peas, dry",
2014,New Brunswick,"Peas, dry",
2015,New Brunswick,"Peas, dry",
2016,New Brunswick,"Peas, dry",
2017,New Brunswick,"Peas, dry",
2018,New Brunswick,"Peas, dry",300
2019,New Brunswick,"Peas, dry",300
2020,New Brunswick,"Peas, dry",1500
2021,New Brunswick,"Peas, dry",
2022,New Brunswick,"Peas, dry",
2018,New Brunswick,"Rye, fall remaining",0
2019,New Brunswick,"Rye, fall remaining",
2020,New Brunswick,"Rye, fall remaining",
2021,New Brunswick,"Rye, fall remaining",1289
2022,New Brunswick,"Rye, fall remaining",268
2018,New Brunswick,"Rye, spring",
2019,New Brunswick,"Rye, spring",0
2020,New Brunswick,"Rye, spring",0
2021,New Brunswick,"Rye, spring",
2022,New Brunswick,"Rye, spring",0
2012,New Brunswick,Soybeans,9300
2013,New Brunswick,Soybeans,13200
2014,New Brunswick,Soybeans,11700
2015,New Brunswick,Soybeans,10900
2016,New Brunswick,Soybeans,12800
2017,New Brunswick,Soybeans,16200
2018,New Brunswick,Soybeans,14900
2019,New Brunswick,Soybeans,9500
2020,New Brunswick,Soybeans,5400
2021,New Brunswick,Soybeans,8837
2022,New Brunswick,Soybeans,
2018,New Brunswick,Sugar beets,0
2019,New Brunswick,Sugar beets,0
2020,New Brunswick,Sugar beets,0
2021,New Brunswick,Sugar beets,0
2022,New Brunswick,Sugar beets,0
2018,New Brunswick,Triticale,0
2019,New Brunswick,Triticale,0
2020,New Brunswick,Triticale,0
2021,New Brunswick,Triticale,
2022,New Brunswick,Triticale,0
2012,New Brunswick,"Wheat, all",6300
2013,New Brunswick,"Wheat, all",7300
2014,New Brunswick,"Wheat, all",9100
2015,New Brunswick,"Wheat, all",13900
2016,New Brunswick,"Wheat, all",11400
2017,New Brunswick,"Wheat, all",10300
2018,New Brunswick,"Wheat, all",14500
2019,New Brunswick,"Wheat, all",18400
2020,New Brunswick,"Wheat, all",14300
2021,New Brunswick,"Wheat, all",10100
2022,New Brunswick,"Wheat, all",13428
2018,New Brunswick,"Wheat, durum",0
2019,New Brunswick,"Wheat, durum",0
2020,New Brunswick,"Wheat, durum",0
2021,New Brunswick,"Wheat, durum",
2022,New Brunswick,"Wheat, durum",0
2012,New Brunswick,"Wheat, spring",4900
2013,New Brunswick,"Wheat, spring",5100
2014,New Brunswick,"Wheat, spring",9100
2015,New Brunswick,"Wheat, spring",13900
2016,New Brunswick,"Wheat, spring",11400
2017,New Brunswick,"Wheat, spring",10300
2018,New Brunswick,"Wheat, spring",9600
2019,New Brunswick,"Wheat, spring",13200
2020,New Brunswick,"Wheat, spring",13100
2021,New Brunswick,"Wheat, spring",8080
2022,New Brunswick,"Wheat, spring",13155
2012,New Brunswick,"Wheat, winter remaining",1400
2013,New Brunswick,"Wheat, winter remaining",2200
2014,New Brunswick,"Wheat, winter remaining",
2015,New Brunswick,"Wheat, winter remaining",
2016,New Brunswick,"Wheat, winter remaining",
2017,New Brunswick,"Wheat, winter remaining",
2018,New Brunswick,"Wheat, winter remaining",4900
2019,New Brunswick,"Wheat, winter remaining",5200
2020,New Brunswick,"Wheat, winter remaining",1200
2021,New Brunswick,"Wheat, winter remaining",2021
2022,New Brunswick,"Wheat, winter remaining",273
2012,Quebec,Barley,234000
2013,Quebec,Barley,221000
2014,Quebec,Barley,163500
2015,Quebec,Barley,168000
2016,Quebec,Barley,175000
2017,Quebec,Barley,171000
2018,Quebec,Barley,157000
2019,Quebec,Barley,156600
2020,Quebec,Barley,125900
2021,Quebec,Barley,132552
2022,Quebec,Barley,105335
2012,Quebec,Canola (rapeseed),33000
2013,Quebec,Canola (rapeseed),33500
2014,Quebec,Canola (rapeseed),27500
2015,Quebec,Canola (rapeseed),26000
2016,Quebec,Canola (rapeseed),32700
2017,Quebec,Canola (rapeseed),36500
2018,Quebec,Canola (rapeseed),35100
2019,Quebec,Canola (rapeseed),25700
2020,Quebec,Canola (rapeseed),24000
2021,Quebec,Canola (rapeseed),29941
2022,Quebec,Canola (rapeseed),38674
2012,Quebec,Corn for grain,3505000
2013,Quebec,Corn for grain,3775000
2014,Quebec,Corn for grain,3140200
2015,Quebec,Corn for grain,3787800
2016,Quebec,Corn for grain,4121300
2017,Quebec,Corn for grain,3780200
2018,Quebec,Corn for grain,3619600
2019,Quebec,Corn for grain,3369000
2020,Quebec,Corn for grain,3264100
2021,Quebec,Corn for grain,3545142
2022,Quebec,Corn for grain,3560877
2012,Quebec,Corn for silage,2430300
2013,Quebec,Corn for silage,2350500
2014,Quebec,Corn for silage,2711600
2015,Quebec,Corn for silage,2822300
2016,Quebec,Corn for silage,2857600
2017,Quebec,Corn for silage,2809600
2018,Quebec,Corn for silage,2732400
2019,Quebec,Corn for silage,2471300
2020,Quebec,Corn for silage,2344200
2021,Quebec,Corn for silage,2913481
2022,Quebec,Corn for silage,2481319
2018,Quebec,Lentils,0
2019,Quebec,Lentils,0
2020,Quebec,Lentils,0
2021,Quebec,Lentils,
2022,Quebec,Lentils,0
2012,Quebec,"Peas, dry",
2013,Quebec,"Peas, dry",
2014,Quebec,"Peas, dry",
2015,Quebec,"Peas, dry",
2016,Quebec,"Peas, dry",
2017,Quebec,"Peas, dry",
2018,Quebec,"Peas, dry",3400
2019,Quebec,"Peas, dry",4200
2020,Quebec,"Peas, dry",9300
2021,Quebec,"Peas, dry",
2022,Quebec,"Peas, dry",6315
2012,Quebec,"Rye, fall remaining",
2013,Quebec,"Rye, fall remaining",
2014,Quebec,"Rye, fall remaining",6000
2015,Quebec,"Rye, fall remaining",14000
2016,Quebec,"Rye, fall remaining",25300
2017,Quebec,"Rye, fall remaining",15000
2018,Quebec,"Rye, fall remaining",16200
2019,Quebec,"Rye, fall remaining",20100
2020,Quebec,"Rye, fall remaining",22300
2021,Quebec,"Rye, fall remaining",39586
2022,Quebec,"Rye, fall remaining",59314
2018,Quebec,"Rye, spring",
2019,Quebec,"Rye, spring",
2020,Quebec,"Rye, spring",3500
2021,Quebec,"Rye, spring",
2022,Quebec,"Rye, spring",
2012,Quebec,Soybeans,843000
2013,Quebec,Soybeans,847000
2014,Quebec,Soybeans,898000
2015,Quebec,Soybeans,1088100
2016,Quebec,Soybeans,1129400
2017,Quebec,Soybeans,1115000
2018,Quebec,Soybeans,1164000
2019,Quebec,Soybeans,1146000
2020,Quebec,Soybeans,1159700
2021,Quebec,Soybeans,1146934
2022,Quebec,Soybeans,1126353
2012,Quebec,Sugar beets,
2013,Quebec,Sugar beets,
2014,Quebec,Sugar beets,
2015,Quebec,Sugar beets,
2016,Quebec,Sugar beets,
2017,Quebec,Sugar beets,
2018,Quebec,Sugar beets,
2019,Quebec,Sugar beets,
2020,Quebec,Sugar beets,0
2021,Quebec,Sugar beets,
2022,Quebec,Sugar beets,0
2018,Quebec,Triticale,3200
2019,Quebec,Triticale,4100
2020,Quebec,Triticale,2400
2021,Quebec,Triticale,
2022,Quebec,Triticale,2687
2012,Quebec,"Wheat, all",160000
2013,Quebec,"Wheat, all",183300
2014,Quebec,"Wheat, all",204500
2015,Quebec,"Wheat, all",281500
2016,Quebec,"Wheat, all",310100
2017,Quebec,"Wheat, all",295000
2018,Quebec,"Wheat, all",290100
2019,Quebec,"Wheat, all",276400
2020,Quebec,"Wheat, all",248500
2021,Quebec,"Wheat, all",329200
2022,Quebec,"Wheat, all",347135
2018,Quebec,"Wheat, durum",
2019,Quebec,"Wheat, durum",
2020,Quebec,"Wheat, durum",0
2021,Quebec,"Wheat, durum",
2022,Quebec,"Wheat, durum",
2012,Quebec,"Wheat, spring",142500
2013,Quebec,"Wheat, spring",158500
2014,Quebec,"Wheat, spring",184000
2015,Quebec,"Wheat, spring",245000
2016,Quebec,"Wheat, spring",257000
2017,Quebec,"Wheat, spring",238000
2018,Quebec,"Wheat, spring",221400
2019,Quebec,"Wheat, spring",248400
2020,Quebec,"Wheat, spring",216900
2021,Quebec,"Wheat, spring",252730
2022,Quebec,"Wheat, spring",243245
2012,Quebec,"Wheat, winter remaining",17500
2013,Quebec,"Wheat, winter remaining",24800
2014,Quebec,"Wheat, winter remaining",20500
2015,Quebec,"Wheat, winter remaining",36500
2016,Quebec,"Wheat, winter remaining",53000
2017,Quebec,"Wheat, winter remaining",57000
2018,Quebec,"Wheat, winter remaining",68700
2019,Quebec,"Wheat, winter remaining",28000
2020,Quebec,"Wheat, winter remaining",31700
2021,Quebec,"Wheat, winter remaining",76488
2022,Quebec,"Wheat, winter remaining",93476
2012,Ontario,Barley,165500
2013,Ontario,Barley,134600
2014,Ontario,Barley,151300
2015,Ontario,Barley,158900
2016,Ontario,Barley,130600
2017,Ontario,Barley,99900
2018,Ontario,Barley,105200
2019,Ontario,Barley,134200
2020,Ontario,Barley,113100
2021,Ontario,Barley,90153
2022,Ontario,Barley,104588
2012,Ontario,Canola (rapeseed),61200
2013,Ontario,Canola (rapeseed),49900
2014,Ontario,Canola (rapeseed),31300
2015,Ontario,Canola (rapeseed),34000
2016,Ontario,Canola (rapeseed),37100
2017,Ontario,Canola (rapeseed),45400
2018,Ontario,Canola (rapeseed),66700
2019,Ontario,Canola (rapeseed),42200
2020,Ontario,Canola (rapeseed),33400
2021,Ontario,Canola (rapeseed),40732
2022,Ontario,Canola (rapeseed),62528
2012,Ontario,Corn for grain,8598300
2013,Ontario,Corn for grain,9007300
2014,Ontario,Corn for grain,7600000
2015,Ontario,Corn for grain,8928500
2016,Ontario,Corn for grain,8382400
2017,Ontario,Corn for grain,8738000
2018,Ontario,Corn for grain,8767900
2019,Ontario,Corn for grain,8640600
2020,Ontario,Corn for grain,8908800
2021,Ontario,Corn for grain,9722436
2022,Ontario,Corn for grain,9440801
2012,Ontario,Corn for silage,4898800
2013,Ontario,Corn for silage,5080200
2014,Ontario,Corn for silage,5034900
2015,Ontario,Corn for silage,4626600
2016,Ontario,Corn for silage,5366000
2017,Ontario,Corn for silage,5987400
2018,Ontario,Corn for silage,5348600
2019,Ontario,Corn for silage,4742600
2020,Ontario,Corn for silage,3945600
2021,Ontario,Corn for silage,4690721
2022,Ontario,Corn for silage,3501495
2018,Ontario,Lentils,0
2019,Ontario,Lentils,3900
2020,Ontario,Lentils,0
2021,Ontario,Lentils,
2022,Ontario,Lentils,0
2012,Ontario,"Peas, dry",
2013,Ontario,"Peas, dry",
2014,Ontario,"Peas, dry",
2015,Ontario,"Peas, dry",
2016,Ontario,"Peas, dry",
2017,Ontario,"Peas, dry",
2018,Ontario,"Peas, dry",5600
2019,Ontario,"Peas, dry",8000
2020,Ontario,"Peas, dry",13400
2021,Ontario,"Peas, dry",6724
2022,Ontario,"Peas, dry",9223
2012,Ontario,"Rye, fall remaining",29200
2013,Ontario,"Rye, fall remaining",29100
2014,Ontario,"Rye, fall remaining",34300
2015,Ontario,"Rye, fall remaining",46500
2016,Ontario,"Rye, fall remaining",58400
2017,Ontario,"Rye, fall remaining",48000
2018,Ontario,"Rye, fall remaining",66600
2019,Ontario,"Rye, fall remaining",42300
2020,Ontario,"Rye, fall remaining",82500
